TA_E,VPD_E,PAR_M,NDVI_L,NIRV_L,LSWI_L,NIRVP_L,prediction_label
266.85318,0.064974174,32.139668,0.14616542,0.037408073,0.32978883,1.2022831,0.15210806506563226
266.38504,0.043515064,13.568039,0.009278542,0.004503638,0.06332872,0.06110554,0.054042653812938754
251.2102,0.03605977,56.01073,0.11549092,0.030149674,0.38200536,1.6887052,0.025591093831499052
278.85327,0.54065835,117.582115,0.24633715,0.040897407,-0.17034812,4.808803,0.4846444978007841
283.7753,0.9485463,131.51056,0.24596503,0.046780393,-0.14900818,6.1521153,1.0005891665126574
284.98886,0.9045686,140.03746,0.33052015,0.054187194,-0.17362536,7.5882373,1.3384149395293257
288.22025,0.81425077,148.5588,0.8750858,0.3275093,0.39893794,48.654392,11.927709396312506
300.4685,1.9784399,152.69815,0.8318391,0.29181385,0.38673255,44.559437,10.268942436260078
291.262,1.1960739,156.08582,0.88494366,0.33315936,0.4118517,52.00145,12.337507471934643
300.0557,1.8419281,129.49173,0.8448527,0.3021837,0.42524832,39.130287,10.916217610548987
289.44998,0.7351533,138.91046,0.8583166,0.365896,0.4108751,50.82678,12.88624852093868
287.64597,0.28396413,35.57786,0.75024843,0.3071541,0.46245873,10.927886,7.386329382518453
292.50812,0.8868615,112.30759,0.87551427,0.30290046,0.40964782,34.01802,9.464805209510022
285.887,0.3404919,79.56467,0.83746487,0.28754216,0.43284273,22.878199,8.373840252956121
289.0581,0.8135681,85.783615,0.83222467,0.25781253,0.40807572,22.116089,6.88825608734067
276.65173,0.34819922,70.17378,0.7799125,0.27165014,0.4130669,19.062717,5.2250883463560385
272.3185,0.087573856,13.983955,0.3058605,0.060188457,0.25464022,0.8416727,0.2978120038443019
260.17615,0.03255137,19.712343,0.14652462,0.03189873,0.36680403,0.6287988,0.0372606359818477
245.26843,0.021000538,45.388435,0.10604402,0.027876379,0.40886393,1.2652652,0.025591093831499052
252.72568,0.036475733,55.7675,0.09820848,0.031113038,0.41349038,1.7350965,0.0536351083280047
274.13043,0.18411273,72.45026,0.0635187,0.022307957,0.49272594,1.6162171,0.3061882401939482
277.29623,0.33530203,94.29528,0.14253011,0.029073298,0.25770378,2.7414746,0.847451040769654
281.53622,0.37061542,102.950554,0.3233266,0.049327534,-0.2051445,5.0782967,1.0073935403081775
284.61182,0.76124996,107.31126,0.35109252,0.06121134,-0.15736324,6.568666,1.356306476740887
285.61063,0.7238226,125.70606,0.60744274,0.15186024,0.15104935,19.089752,5.475169795943715
292.56207,0.89561856,152.6072,0.82280546,0.2665766,0.34148496,40.681507,8.849163313258959
292.89822,0.92617166,143.33919,0.84705836,0.29014936,0.3853966,41.58977,10.214096504890316
290.77924,0.7281627,139.63147,0.84943825,0.2682359,0.37397563,37.45417,10.107859576139802
294.6988,1.2135636,126.01578,0.81890464,0.2525484,0.353258,31.825083,8.676750574390155
287.9418,0.7944136,100.42753,0.8318874,0.24700862,0.34161726,24.806465,6.752930038277301
285.11816,0.35155755,62.641155,0.38262674,0.083508655,0.15202641,5.2310786,2.0632818701591615
277.0659,0.1941175,43.730522,0.40303358,0.074993834,-0.037340917,3.2795198,0.746208505585638
278.53604,0.12581223,36.81902,0.29702634,0.05508936,-0.10243488,2.0283363,0.6262377253501976
273.31683,0.16429247,22.608994,0.32690313,0.04869734,0.19114934,1.1009978,0.41634788250927784
257.89404,0.05510209,11.38643,0.1508715,0.032436118,0.3289112,0.3693316,0.041022180112258534
249.30862,0.022795787,13.182161,0.09884029,0.028038723,0.4472042,0.36961097,0.004413156549243083
246.39217,0.02073914,28.690632,0.11839199,0.02884705,0.40883464,0.82764006,0.004413156549243083
264.20862,0.05164749,43.248356,0.13126473,0.034762792,0.41663116,1.5034336,0.07577292451373971
273.2828,0.34375048,99.022316,0.22038049,0.037489332,-0.02476904,3.7122805,0.47368408304369913
295.29272,0.8261031,131.11786,0.8743624,0.28845274,0.3871177,37.821304,10.77995816206605
289.15573,0.62939507,125.330605,0.87490696,0.28629133,0.38887027,35.881065,9.890362851734544
287.84958,0.50685966,110.59266,0.8345897,0.30253917,0.3914678,33.45861,9.273466997323284
284.32306,0.58617926,120.09545,0.87107307,0.27692688,0.39996597,33.257656,8.913907803745316
286.02615,0.29741436,94.42922,0.83312446,0.2825423,0.3858332,26.680248,7.6994800784051876
282.5056,0.36274958,83.042175,0.84571654,0.25702626,0.39583945,21.34402,6.644433931893987
284.4775,0.3731226,56.38798,0.37224966,0.055729985,-0.0746282,3.1425016,0.910016017385066
269.94492,0.21919343,22.277723,0.18783714,0.032109722,0.34509814,0.71533144,0.2736482384798069
275.13962,0.13500385,19.9334,0.23118901,0.038849887,0.30179062,0.7744103,0.7397887109830095
266.4609,0.12376579,17.122583,0.18709287,0.03627233,0.26443675,0.6210759,0.13414129803351996
257.58167,0.05157986,69.68329,0.07026116,0.023084981,0.43940854,1.6086376,0.025591093831499052
262.40134,0.08110601,82.932175,0.06254763,0.022733215,0.5048142,1.8853151,0.025591093831499052
273.82376,0.19198726,63.715584,0.03687911,0.01220188,0.6323375,0.7774499,0.3061882401939482
278.16022,0.37680724,98.36302,0.25055155,0.038916864,-0.10029382,3.8279805,0.6765931122222777
274.4012,0.42346805,129.35226,0.3133363,0.04570662,-0.24154285,5.912255,0.6369499091370199
275.5031,0.4226964,137.60419,0.3578759,0.0589025,-0.1809625,8.105231,1.0732698736422213
280.43887,0.32040605,109.45274,0.6410407,0.16253433,0.20404895,17.78983,4.007144112817921
291.46936,0.5675525,147.58617,0.87302905,0.2968528,0.4057368,43.811367,12.230448901502664
291.61078,0.752355,128.85257,0.8748899,0.35261172,0.41415888,45.434925,12.588724688878832
292.8175,0.7134459,122.61819,0.87616915,0.30066738,0.40564644,36.867287,10.942731856112722
293.8219,1.0963833,130.92381,0.8725143,0.27659625,0.39510375,36.213036,10.163890945466031
290.43546,0.5515811,104.56138,0.8567853,0.26342422,0.39926288,27.543999,8.82582642193243
287.4747,0.57835454,93.50857,0.8138552,0.22215135,0.36974254,20.773056,6.944203936906511
280.42505,0.2604392,53.851334,0.3152814,0.048483647,-0.08505215,2.610909,0.8994714565896614
276.9893,0.14480147,38.893852,0.381955,0.04205442,-0.09021629,1.6356584,0.6653728150995017
260.5857,0.040077772,34.293724,0.1233451,0.028347652,0.377405,0.9721466,0.025591093831499052
